Dataset,RF,DS,SVM,LR,AdaBoost-RF,AdaBoost-DS,AdaBoost-SVM,AdaBoost-LR,Bagging-RF,Bagging-DS,Bagging-SVM,Bagging-LR
CM1,0.8226,0.7997,0.7498,0.7412,0.7876,0.8055,0.6945,0.7325,0.7847,0.8081,0.7528,0.747
JM1,0.8065,0.7523,0.6901,0.695,0.7834,0.7705,0.6863,0.6997,0.7874,0.7806,0.6889,0.6942
KC1,0.8344,0.8153,0.7174,0.7179,0.8181,0.8243,0.7227,0.7375,0.8172,0.8315,0.726,0.7256
MC1,0.9923,0.9887,0.8733,0.8808,0.9906,0.9894,0.8334,0.8249,0.9916,0.9892,0.8736,0.8807
MC2,0.6962,0.641,0.6474,0.6551,0.6737,0.6173,0.6385,0.6397,0.6808,0.7551,0.6724,0.6705
MW1,0.852,0.8101,0.7298,0.7372,0.8742,0.814,0.7487,0.691,0.8442,0.8291,0.741,0.7373
PC1,0.8992,0.8586,0.8108,0.8081,0.8939,0.8748,0.7673,0.7293,0.8884,0.8721,0.8149,0.804
PC2,0.9806,0.9725,0.9209,0.8988,0.9826,0.9726,0.8104,0.8299,0.9806,0.9759,0.9183,0.8968
PC3,0.8471,0.798,0.7452,0.7397,0.8471,0.839,0.7061,0.7024,0.8108,0.8235,0.7406,0.7352
PC4,0.9014,0.8637,0.831,0.8252,0.8941,0.868,0.7846,0.7687,0.8934,0.8832,0.8303,0.8303
