Dataset,Model,Accuracy,Precision_weighted,Recall_weighted,F1_weighted,ROC_AUC,Precision_defective,Recall_defective,F1_defective,PF,Specificity,G_measure,TN,FP,FN,TP
CM1,AdaBoost-DS,0.8054621848739496,0.8388790091587908,0.8054621848739496,0.8175765129799469,0.6402688172043011,0.3148484848484848,0.42000000000000004,0.34665445665445666,0.13946236559139785,0.8605376344086022,0.516672483312509,260,42,25,17
CM1,AdaBoost-LR,0.7325210084033614,0.8755771490231847,0.7325210084033614,0.775729237835441,0.7814408602150538,0.28264568764568765,0.77,0.41092275371687137,0.27161290322580645,0.7283870967741934,0.7356899343296337,220,82,10,32
CM1,AdaBoost-RF,0.787563025210084,0.8148347629745262,0.787563025210084,0.7991210624880969,0.6405322580645161,0.23468253968253966,0.29500000000000004,0.2567482517482517,0.14268817204301076,0.8573118279569893,0.3973232285962657,259,43,30,12
CM1,AdaBoost-SVM,0.6945378151260504,0.8537476292197654,0.6945378151260504,0.7444258602193895,0.743263440860215,0.241518759018759,0.67,0.35137586613592803,0.3013978494623656,0.6986021505376344,0.6709381487512797,211,91,14,28
CM1,Bagging-DS,0.8080672268907563,0.8252652748372957,0.8080672268907563,0.8139030997680005,0.6914623655913978,0.2791269841269841,0.315,0.28394383394383393,0.1229032258064516,0.8770967741935485,0.42489483379741166,265,37,29,13
CM1,Bagging-LR,0.7469747899159664,0.8519588317067308,0.7469747899159664,0.7825937926434129,0.7450591397849463,0.2721139971139971,0.595,0.3679962194668077,0.23215053763440857,0.7678494623655914,0.6507797992341843,232,70,17,25
CM1,Bagging-RF,0.7847058823529413,0.8263805319933617,0.7847058823529413,0.8001038450777692,0.7344005376344087,0.26023809523809527,0.365,0.28800505050505054,0.15591397849462366,0.8440860215053764,0.47284053926098774,255,47,27,15
CM1,Bagging-SVM,0.7527731092436974,0.8529189478162806,0.7527731092436974,0.787202088523491,0.684733870967742,0.2792207792207792,0.595,0.37495670995670993,0.22559139784946236,0.7744086021505376,0.6547800994186537,234,68,17,25
CM1,DS,0.7997478991596638,0.8295986068538251,0.7997478991596638,0.8112878990579043,0.6153225806451613,0.28583333333333333,0.37,0.31308302808302807,0.1393548387096774,0.8606451612903226,0.48224103450697536,260,42,27,15
CM1,LR,0.7411764705882353,0.8463936878423542,0.7411764705882353,0.7775027183479398,0.742,0.25874403374403376,0.5700000000000001,0.3519415551768493,0.23548387096774195,0.7645161290322581,0.635092870598551,231,71,18,24
