Dataset,Best_Model,Best_Score
CM1,AdaBoost-LR,0.7814408602150538
JM1,RF,0.7561186715200834
KC1,RF,0.8213445364663585
MC1,Bagging-RF,0.9339689160997008
MC2,AdaBoost-RF,0.7425347222222223
MW1,Bagging-RF,0.7357035024154589
PC1,LR,0.8634249968644173
PC2,RF,0.8877056903842618
PC3,RF,0.8453890879309693
PC4,RF,0.9325004613874934
