Dataset,RF,DS,SVM,LR,AdaBoost-RF,AdaBoost-DS,AdaBoost-SVM,AdaBoost-LR,Bagging-RF,Bagging-DS,Bagging-SVM,Bagging-LR
CM1,0.7401,0.5481,0.7371,0.737,0.6895,0.5928,0.7192,0.753,0.7103,0.7372,0.7023,0.7422
JM1,0.755,0.6027,0.7044,0.7065,0.7057,0.6787,0.6976,0.6658,0.7496,0.6948,0.6594,0.7065
KC1,0.8272,0.6439,0.7973,0.7987,0.7412,0.7313,0.7331,0.7375,0.8171,0.7724,0.7238,0.7961
MC1,0.9181,0.7683,0.9042,0.914,0.8474,0.8516,0.9079,0.9191,0.9149,0.8424,0.8496,0.9129
MC2,0.7705,0.6412,0.7392,0.7247,0.6558,0.6475,0.7008,0.7365,0.7278,0.7205,0.7002,0.7009
MW1,0.6558,0.5384,0.6248,0.662,0.6319,0.5412,0.6917,0.7063,0.6852,0.6654,0.6393,0.6507
PC1,0.8536,0.6879,0.8374,0.8593,0.8156,0.775,0.8254,0.793,0.8476,0.8161,0.7959,0.8611
PC2,0.8686,0.5402,0.8844,0.8584,0.6113,0.5395,0.7722,0.8739,0.8862,0.7199,0.8144,0.8611
PC3,0.8434,0.668,0.8115,0.812,0.7886,0.7762,0.7874,0.7684,0.826,0.8045,0.7508,0.8132
PC4,0.9352,0.7612,0.903,0.9068,0.886,0.8793,0.8956,0.8689,0.9279,0.9081,0.8498,0.9115
