Dataset,Best_Model,Best_Score
CM1,RF,0.8315966386554623
JM1,RF,0.8050266119221412
KC1,RF,0.839626338573707
MC1,Bagging-RF,0.9927890097273664
MC2,Bagging-DS,0.7108974358974359
MW1,RF,0.8591168091168091
PC1,RF,0.9129211403184007
PC2,RF,0.9819194630872483
PC3,"AdaBoost-RF, RF",0.8462218515429525
PC4,RF,0.9021263091082196
