Dataset,Best_Model,Best_Score
CM1,RF,0.8191490578251395
JM1,RF,0.7982546357292115
KC1,RF,0.840000743035762
MC1,Bagging-RF,0.9927843582811452
MC2,Bagging-DS,0.7010735474822163
MW1,RF,0.8600534970403808
PC1,RF,0.9071558358029852
PC2,RF,0.9815872140431349
PC3,AdaBoost-RF,0.8494862595188026
PC4,RF,0.9035372840186415
